Frequency,IN2/IN1
500.000000	1.417930,3.593586
539.887581	1.389479,3.256622
582.957201	1.358221,2.943401
629.462706	1.322920,2.652263
679.678195	1.283608,2.379127
733.899634	1.241901,2.127048
792.446596	1.195187,1.890622
855.664152	1.146517,1.675241
923.924899	1.093490,1.473971
997.631157	1.037454,1.289514
1077.217345	0.978528,1.121905
1163.152534	0.918000,0.969940
1255.943216	0.856328,0.832727
1356.136290	0.794006,0.710502
1464.322282	0.732206,0.601533
1581.138830	0.671553,0.505327
1707.274437	0.611941,0.420951
1843.472532	0.554572,0.348107
1990.535853	0.499208,0.285638
2149.331174	0.447876,0.232689
2320.794417	0.399903,0.187752
2505.936168	0.355190,0.149876
2705.847633	0.314208,0.118354
2921.707067	0.276601,0.092700
3154.786722	0.242952,0.071629
3406.460345	0.212739,0.054423
3678.211272	0.185344,0.040398
3971.641174	0.161198,0.029524
4288.479493	0.139990,0.020839
4630.593641	0.121197,0.013767
5000.000000	0.104574,0.008572
5398.875812	0.090046,0.004321
5829.572006	0.077384,0.001201
6294.627059	0.066407,-0.001128
6796.781954	0.056953,-0.002851
7338.996338	0.048674,-0.004010
7924.465962	0.041548,-0.004825
8556.641521	0.035412,-0.005407
9239.248987	0.029970,-0.005671
9976.311575	0.025494,-0.005489
10772.173450	0.021283,-0.005664
11631.525336	0.018018,-0.005424
12559.432158	0.015092,-0.005355
13561.362897	0.012706,-0.004931
14643.222823	0.010400,-0.004568
15811.388301	0.008629,-0.004391
17072.744369	0.007462,-0.003654
18434.725323	0.005993,-0.003471
19905.358528	0.004880,-0.002939
21493.311735	0.003957,-0.002671
23207.944168	0.002893,-0.002532
25059.361681	0.002394,-0.002159
27058.476327	0.001768,-0.001988
29217.070669	0.001565,-0.001859
31547.867224	0.001313,-0.001714
34064.603453	0.000940,-0.001128
36782.112723	0.000598,-0.000929
39716.411736	0.000544,-0.000655
42884.794930	0.000413,-0.000960
46305.936406	0.000488,-0.000724
50000.000000	0.000431,-0.000093
